Gender,City,CGPA,Programming_Skill,Communication_Skill,Aptitude_Score,Internships,Projects,Backlogs,Attendance_Percent,Certifications,Study_Hours_Per_Week,Placed,Salary_LPA
Male,Hyderabad,4.65,5,7,7,1,3,0,74,1,3,1,7.64
Female,Pune,8.13,3,5,9,1,6,3,94,1,1,1,9.28
Male,Pune,5.83,3,7,2,2,0,0,61,3,3,1,6.03
Male,Hyderabad,6.98,6,2,8,3,3,1,65,3,4,1,9.5
Male,Hyderabad,6.03,2,4,9,0,1,0,75,1,6,1,6.98
Female,Bengaluru,5.4,6,7,3,1,1,1,92,2,7,1,8.85
Male,Mumbai,7.74,6,3,2,1,2,0,73,2,23,1,8.13
Male,Delhi,7.96,8,2,7,0,2,0,100,4,25,1,10.1
Male,Chennai,6.62,7,10,5,1,1,0,69,1,8,1,8.6
Female,Mumbai,4.61,8,2,5,2,2,0,60,6,13,1,6.96
Male,Pune,6.65,9,1,10,0,3,0,64,2,4,1,8.38
Male,Hyderabad,7.59,6,5,5,1,2,0,100,0,6,1,10.31
Male,Mumbai,5.72,3,6,4,2,2,2,70,2,11,0,0.0
Male,Delhi,7.38,10,6,5,3,4,1,99,5,1,1,8.73
Female,Pune,7.18,3,9,4,0,1,0,65,2,8,1,9.74
Male,Chennai,7.78,1,4,6,1,0,0,89,2,22,1,9.37
Female,Chennai,7.32,5,1,4,2,3,1,62,2,2,1,7.65
Female,Delhi,6.23,4,6,2,2,2,1,82,1,8,1,7.92
Female,Delhi,8.4,9,5,9,1,5,0,57,2,20,1,7.4
Male,Hyderabad,7.04,9,10,2,1,3,1,56,3,9,1,10.09
Female,Chennai,7.17,5,6,9,1,6,1,68,5,4,1,8.61
Male,Pune,6.27,10,3,10,2,1,3,83,4,17,1,9.7
Female,Mumbai,6.76,4,2,6,2,4,1,57,5,7,1,6.03
Female,Pune,6.32,7,6,9,1,1,1,55,2,10,1,8.21
Female,Bengaluru,7.03,6,1,9,0,2,0,69,4,5,1,8.88
Female,Bengaluru,8.91,4,7,3,2,4,0,74,1,10,1,6.56
Female,Delhi,5.83,10,7,1,3,2,0,76,2,27,1,9.53
Female,Hyderabad,5.59,2,10,1,1,0,1,88,1,12,0,0.0
Female,Bengaluru,8.67,1,7,3,1,2,0,87,3,21,1,6.55
Female,Chennai,6.99,4,10,5,0,2,0,63,2,20,1,7.81
Male,Pune,6.53,4,1,3,2,0,3,57,2,6,1,8.81
Male,Pune,8.24,1,4,9,0,1,1,56,1,1,0,0.0
Female,Delhi,6.59,6,7,9,1,3,0,58,3,3,1,8.47
Female,Mumbai,9.03,4,9,3,1,0,0,70,1,27,1,8.62
Female,Delhi,7.88,1,5,3,0,1,0,87,3,28,1,5.99
Male,Mumbai,6.71,1,2,5,1,1,0,63,2,7,1,8.72
Female,Delhi,9.36,1,7,2,1,2,1,94,2,11,0,0.0
Male,Delhi,6.59,8,10,6,2,0,0,92,3,24,1,10.14
Male,Delhi,7.94,10,1,7,2,0,0,72,0,12,1,9.49
Male,Mumbai,7.5,8,7,9,0,0,0,70,2,9,1,9.67
Male,Mumbai,8.5,2,6,6,2,3,1,62,2,1,1,6.78
Male,Delhi,8.76,7,7,3,0,3,1,77,1,4,1,9.69
Female,Bengaluru,7.23,8,10,5,0,0,1,90,3,2,1,8.61
Female,Hyderabad,6.45,8,3,4,1,2,2,57,3,2,1,8.63
Female,Hyderabad,7.66,10,3,5,1,3,0,69,2,17,1,8.04
Female,Hyderabad,6.52,7,7,8,0,5,1,92,0,21,1,9.97
Female,Mumbai,9.21,5,2,8,3,3,1,87,3,2,1,7.34
Male,Mumbai,7.34,1,1,6,0,1,0,72,1,4,1,8.52
Female,Bengaluru,6.83,9,9,1,1,3,1,77,3,25,1,7.87
Female,Hyderabad,7.38,7,9,8,1,2,0,97,2,11,1,11.47
Male,Hyderabad,5.85,2,7,8,1,0,0,57,1,19,1,8.62
